task_index,id,task,source_dataset,scene_id,group_id,object_id,bleurt_model_gt,question,ground_truth,model_response
985,SP-3a,space-perception,rwigle,scene_002,group_006_obj01,a503983a2e4f474fbb81b1426762e587,-1.5505832433700562,What is the approximate distance in meters between <obj> and the ego vehicle?,28.4 m,10
986,SP-3a,space-perception,rwigle,scene_002,group_006_obj02,35c1d41d2be94cf2aab35916465471ef,-1.3323554992675781,What is the approximate distance in meters between <obj> and the ego vehicle?,30.8 m,20
987,SP-3a,space-perception,rwigle,scene_002,group_007,acae8b33271843c0aae5e41c0b57ed06,-1.5993847846984863,What is the approximate distance in meters between <obj> and the ego vehicle?,37.4 m,15
988,SP-3a,space-perception,rwigle,scene_002,group_007_obj01,31cf4eb9180141a58cd370f8b15e11d3,-1.2399924993515015,What is the approximate distance in meters between <obj> and the ego vehicle?,12.8 m,10
989,SP-3a,space-perception,rwigle,scene_002,group_007_obj02,7baa067126dc411b90565f8fac27ca2a,-1.4131624698638916,What is the approximate distance in meters between <obj> and the ego vehicle?,20.1 m,1.5
990,SP-3a,space-perception,rwigle,scene_002,group_008,d373e5fb97d14bbabb17f5b77dcd9c06,-1.1422159671783447,What is the approximate distance in meters between <obj> and the ego vehicle?,38.9 m,10
991,SP-3a,space-perception,rwigle,scene_002,group_008_obj01,205bbfb4c905408c8be7f258d9645531,-0.7244600057601929,What is the approximate distance in meters between <obj> and the ego vehicle?,18.9 m,12.0
992,SP-3a,space-perception,rwigle,scene_002,group_008_obj02,16bdcc3ab98e4da9ab4ecae4e0106382,-1.5340242385864258,What is the approximate distance in meters between <obj> and the ego vehicle?,33.3 m,20
993,SP-3a,space-perception,rwigle,scene_003,group_001,ded63e6341974962b175021e23bee560,-1.5569696426391602,What is the approximate distance in meters between <obj> and the ego vehicle?,17.6 m,25
994,SP-3a,space-perception,rwigle,scene_003,group_001_obj01,ca30f2c1e35e4dea94690896e1c4dc17,-1.0552341938018799,What is the approximate distance in meters between <obj> and the ego vehicle?,19.9 m,20
995,SP-3a,space-perception,rwigle,scene_003,group_001_obj02,6cac0e36ea3c4291a9cc4fdcb406afa6,-1.6785457134246826,What is the approximate distance in meters between <obj> and the ego vehicle?,9.3 m,15
996,SP-3a,space-perception,rwigle,scene_003,group_002,a7a7651938d3457cb1f770f4f34f6d98,-1.5507738590240479,What is the approximate distance in meters between <obj> and the ego vehicle?,23.9 m,15
997,SP-3a,space-perception,rwigle,scene_003,group_002_obj01,5c5817a09636452f998a014d05df1ffb,-1.3931522369384766,What is the approximate distance in meters between <obj> and the ego vehicle?,46.6 m,10
998,SP-3a,space-perception,rwigle,scene_003,group_002_obj02,ac7e404ced654e84aeaa87c8a2ae1bf4,-1.4358124732971191,What is the approximate distance in meters between <obj> and the ego vehicle?,17.7 m,15
999,SP-3a,space-perception,rwigle,scene_003,group_003,90d2cea6b36644d785d718a7c94a5ecc,-1.6174017190933228,What is the approximate distance in meters between <obj> and the ego vehicle?,14.5 m,10
1000,SP-3a,space-perception,rwigle,scene_003,group_003_obj01,f9bfc2d257604eddb281ab7beb3fdb41,-1.5479400157928467,What is the approximate distance in meters between <obj> and the ego vehicle?,23.2 m,10
1001,SP-3a,space-perception,rwigle,scene_003,group_003_obj02,952cc0959ddc4fd381919b3f0b38b3ca,-2.0005455017089844,What is the approximate distance in meters between <obj> and the ego vehicle?,21.2 m,15
1002,SP-3a,space-perception,rwigle,scene_003,group_004,f46fb1c5e052433eb58cc526aa8562f2,-1.314361572265625,What is the approximate distance in meters between <obj> and the ego vehicle?,63.4 m,10
1003,SP-3a,space-perception,rwigle,scene_003,group_004_obj01,bff073924fab42d3816bdc7592ab6d3a,-1.610919713973999,What is the approximate distance in meters between <obj> and the ego vehicle?,36.9 m,20
1004,SP-3a,space-perception,rwigle,scene_003,group_004_obj02,c96851c6b58849ad8f96e46495ddabc4,-1.5855541229248047,What is the approximate distance in meters between <obj> and the ego vehicle?,48.3 m,25
1005,SP-3a,space-perception,rwigle,scene_003,group_005,f0a6f5548a5b448ebe9819741ddd1e95,-1.7497886419296265,What is the approximate distance in meters between <obj> and the ego vehicle?,55.8 m,0
1006,SP-3a,space-perception,rwigle,scene_003,group_005_obj01,b0b1cab9c186478d92a2d2cd1ce340c4,-1.5592186450958252,What is the approximate distance in meters between <obj> and the ego vehicle?,43.3 m,25
1007,SP-3a,space-perception,rwigle,scene_003,group_005_obj02,8dd8abccf43d4effa9e51d5d6471cf6b,-1.4740116596221924,What is the approximate distance in meters between <obj> and the ego vehicle?,24.1 m,10
1008,SP-3a,space-perception,rwigle,scene_003,group_006,951170a675f340c4b6240ff978308137,-1.3424603939056396,What is the approximate distance in meters between <obj> and the ego vehicle?,57.0 m,15
1009,SP-3a,space-perception,rwigle,scene_003,group_006_obj01,663db28e19c040b281f2bcb6dfecece3,-1.5305074453353882,What is the approximate distance in meters between <obj> and the ego vehicle?,43.9 m,0
1010,SP-3a,space-perception,rwigle,scene_003,group_006_obj02,4e0578196af74ab1a0811ee77f3e7d1a,-1.2709217071533203,What is the approximate distance in meters between <obj> and the ego vehicle?,71.1 m,10
1011,SP-3a,space-perception,rwigle,scene_003,group_007,349bb71c70ba4455866f14cda7ec9011,-1.7378065586090088,What is the approximate distance in meters between <obj> and the ego vehicle?,64.9 m,0
1012,SP-3a,space-perception,rwigle,scene_003,group_007_obj01,b63d826db91c4a1cb59a3bd1c93ed30a,-1.8164113759994507,What is the approximate distance in meters between <obj> and the ego vehicle?,112.3 m,0
1013,SP-3a,space-perception,rwigle,scene_003,group_007_obj02,409c4051f4d84b7abb1d91b803a4fd7f,-1.3758655786514282,What is the approximate distance in meters between <obj> and the ego vehicle?,25.6 m,1.5
1014,SP-3a,space-perception,rwigle,scene_003,group_008,527e98eb15c24947a93d726190cbee28,-1.8620731830596924,What is the approximate distance in meters between <obj> and the ego vehicle?,22.1 m,25
1015,SP-3a,space-perception,rwigle,scene_003,group_008_obj01,60b73658ca62429ea278e00bc40fa961,-1.8320964574813843,What is the approximate distance in meters between <obj> and the ego vehicle?,28.8 m,15
1016,SP-3a,space-perception,rwigle,scene_003,group_008_obj02,36227b0a15474d91b1956d7e87f2b0a5,-1.3331754207611084,What is the approximate distance in meters between <obj> and the ego vehicle?,99.7 m,10
1017,SP-3a,space-perception,rwigle,scene_004,group_001,ca98655a34b74f2e9357135e6e034963,-1.66840660572052,What is the approximate distance in meters between <obj> and the ego vehicle?,3.7 m,0.0
1018,SP-3a,space-perception,rwigle,scene_004,group_001_obj01,757223b9348e4678bfa65c8d1a697201,-1.908445119857788,What is the approximate distance in meters between <obj> and the ego vehicle?,33.8 m,15
1019,SP-3a,space-perception,rwigle,scene_004,group_001_obj02,ff5c62ee33cc4445b7766526c6b9b4a8,-1.5121049880981445,What is the approximate distance in meters between <obj> and the ego vehicle?,45.8 m,15
1020,SP-3a,space-perception,rwigle,scene_004,group_002,74111e6122b84c45b7eae44945f5eee0,-1.8584318161010742,What is the approximate distance in meters between <obj> and the ego vehicle?,54.2 m,0
1021,SP-3a,space-perception,rwigle,scene_004,group_002_obj01,d4a73bcdf93149dc9e6bcd564fbc29bf,-1.8570137023925781,What is the approximate distance in meters between <obj> and the ego vehicle?,7.8 m,0.0
1022,SP-3a,space-perception,rwigle,scene_004,group_002_obj02,686caab082e74798b8775f61484a6b58,-1.634756088256836,What is the approximate distance in meters between <obj> and the ego vehicle?,53.5 m,15
1023,SP-3a,space-perception,rwigle,scene_004,group_003,ad2ccc564c394da39e5aeef887d58aa2,-1.5319926738739014,What is the approximate distance in meters between <obj> and the ego vehicle?,7.0 m,0
1024,SP-3a,space-perception,rwigle,scene_004,group_003_obj01,3590fc661b5242eebd9da405ae3ff69e,-1.700885534286499,What is the approximate distance in meters between <obj> and the ego vehicle?,13.9 m,0
1025,SP-3a,space-perception,rwigle,scene_004,group_003_obj02,3815c6382e754beab6b550d6b0c34a56,-1.3971468210220337,What is the approximate distance in meters between <obj> and the ego vehicle?,35.6 m,25
1026,SP-3a,space-perception,rwigle,scene_004,group_004,f7ccbc00a0fc4b5cb3d1d6996d0bd651,-1.8584318161010742,What is the approximate distance in meters between <obj> and the ego vehicle?,54.2 m,0
1027,SP-3a,space-perception,rwigle,scene_004,group_004_obj01,ac4befdada484f99bbfb62e732cf8265,-1.6162824630737305,What is the approximate distance in meters between <obj> and the ego vehicle?,28.3 m,25
1028,SP-3a,space-perception,rwigle,scene_004,group_004_obj02,ca668628f7e54612aeaa0b65420930eb,-1.3981045484542847,What is the approximate distance in meters between <obj> and the ego vehicle?,58.8 m,12
1029,SP-3a,space-perception,rwigle,scene_004,group_005,d21b05ffa592416a9f755e340decf84c,-1.700885534286499,What is the approximate distance in meters between <obj> and the ego vehicle?,13.9 m,0
1030,SP-3a,space-perception,rwigle,scene_004,group_005_obj01,59e008ced2d44405992617eaaec2cdca,-1.6320064067840576,What is the approximate distance in meters between <obj> and the ego vehicle?,15.5 m,0
1031,SP-3a,space-perception,rwigle,scene_004,group_005_obj02,d21b05ffa592416a9f755e340decf84c,-1.700885534286499,What is the approximate distance in meters between <obj> and the ego vehicle?,13.9 m,0
1032,SP-3a,space-perception,rwigle,scene_004,group_006,ab64a168b02846d89d52eb3431416ba9,-1.502498745918274,What is the approximate distance in meters between <obj> and the ego vehicle?,21.0 m,0
1033,SP-3a,space-perception,rwigle,scene_004,group_006_obj01,84733737030b4c88af705fa10fb91bdd,-1.5319926738739014,What is the approximate distance in meters between <obj> and the ego vehicle?,7.0 m,0
1034,SP-3a,space-perception,rwigle,scene_004,group_006_obj02,fe18c6e08f494840820df02b0b419ef3,-1.5676300525665283,What is the approximate distance in meters between <obj> and the ego vehicle?,20.4 m,15
1035,SP-3a,space-perception,rwigle,scene_004,group_007,7a27802a0bd24ffd91e07868cde6d63e,-1.3314927816390991,What is the approximate distance in meters between <obj> and the ego vehicle?,72.6 m,12
1036,SP-3a,space-perception,rwigle,scene_004,group_007_obj01,10eae2ad9d344f24a8955268db305a67,-1.6814632415771484,What is the approximate distance in meters between <obj> and the ego vehicle?,37.3 m,15
1037,SP-3a,space-perception,rwigle,scene_004,group_007_obj02,5523ce14207340cc9eb598a4f478e355,-1.5013220310211182,What is the approximate distance in meters between <obj> and the ego vehicle?,84.6 m,15
1038,SP-3a,space-perception,rwigle,scene_004,group_008,0018b32ed0274893afcd0ce90ec53abf,-1.4867429733276367,What is the approximate distance in meters between <obj> and the ego vehicle?,50.5 m,15
1039,SP-3a,space-perception,rwigle,scene_004,group_008_obj01,0018b32ed0274893afcd0ce90ec53abf,-1.4867429733276367,What is the approximate distance in meters between <obj> and the ego vehicle?,50.5 m,15
1040,SP-3a,space-perception,rwigle,scene_004,group_008_obj02,926de0519f2c40669f90fb0e448eedf9,-1.348329782485962,What is the approximate distance in meters between <obj> and the ego vehicle?,60.1 m,15
1041,SP-3a,space-perception,rwigle,scene_005,group_001,920282c6ff4c45098b701cd830fbcecc,-1.7746610641479492,What is the approximate distance in meters between <obj> and the ego vehicle?,21.2 m,25
1042,SP-3a,space-perception,rwigle,scene_005,group_001_obj01,f8140154c24247d0bd66782b5fb9d3d1,-1.5219471454620361,What is the approximate distance in meters between <obj> and the ego vehicle?,26.3 m,10
1043,SP-3a,space-perception,rwigle,scene_005,group_001_obj02,0598aa94d1114c98994588c602be7487,-1.497511386871338,What is the approximate distance in meters between <obj> and the ego vehicle?,10.6 m,0
1044,SP-3a,space-perception,rwigle,scene_005,group_002,977c997c9a1141ffa78041e30d7f6036,-1.5547631978988647,What is the approximate distance in meters between <obj> and the ego vehicle?,44.8 m,25
1045,SP-3a,space-perception,rwigle,scene_005,group_002_obj01,ef902269ab0840df92f9e6c754dc764f,-1.1421220302581787,What is the approximate distance in meters between <obj> and the ego vehicle?,30.9 m,10
1046,SP-3a,space-perception,rwigle,scene_005,group_002_obj02,977c997c9a1141ffa78041e30d7f6036,-1.5547631978988647,What is the approximate distance in meters between <obj> and the ego vehicle?,44.8 m,25
1047,SP-3a,space-perception,rwigle,scene_005,group_003,cbd46e72ac4d4025b3a50890b70072e5,-1.5086705684661865,What is the approximate distance in meters between <obj> and the ego vehicle?,36.4 m,12
1048,SP-3a,space-perception,rwigle,scene_005,group_003_obj01,397cbd4136ef4321af475599cb24bf8c,-1.5522880554199219,What is the approximate distance in meters between <obj> and the ego vehicle?,7.5 m,0
1049,SP-3a,space-perception,rwigle,scene_005,group_003_obj02,e5300371703f45cc89f58b08b94d7b17,-1.3814752101898193,What is the approximate distance in meters between <obj> and the ego vehicle?,31.9 m,25
1050,SP-3a,space-perception,rwigle,scene_005,group_004,558589ced6e24cccb2f369009194f581,-1.2624151706695557,What is the approximate distance in meters between <obj> and the ego vehicle?,35.1 m,15
1051,SP-3a,space-perception,rwigle,scene_005,group_004_obj01,d6819c8c90fd4a318d0a59a7fbb8765c,-1.6563856601715088,What is the approximate distance in meters between <obj> and the ego vehicle?,21.6 m,25
1052,SP-3a,space-perception,rwigle,scene_005,group_004_obj02,5e6a4982b0e94c8a9ac816fa0b5daf27,-1.5755813121795654,What is the approximate distance in meters between <obj> and the ego vehicle?,5.2 m,0.0
1053,SP-3a,space-perception,rwigle,scene_005,group_005,ba717885044244f9bf5d2bcce38507f6,-1.6626338958740234,What is the approximate distance in meters between <obj> and the ego vehicle?,21.0 m,25
1054,SP-3a,space-perception,rwigle,scene_005,group_005_obj01,ba717885044244f9bf5d2bcce38507f6,-1.6626338958740234,What is the approximate distance in meters between <obj> and the ego vehicle?,21.0 m,25
1055,SP-3a,space-perception,rwigle,scene_005,group_005_obj02,ec0500a3c8cd4f759af3cedef66d8f9d,-1.2531208992004395,What is the approximate distance in meters between <obj> and the ego vehicle?,23.5 m,25
1056,SP-3a,space-perception,rwigle,scene_005,group_006,97d6059a49314d1eb780e624a3603def,-1.4364076852798462,What is the approximate distance in meters between <obj> and the ego vehicle?,35.0 m,25
1057,SP-3a,space-perception,rwigle,scene_005,group_006_obj01,c986dcec27de4faf9afca12708510e11,-1.1385679244995117,What is the approximate distance in meters between <obj> and the ego vehicle?,4.8 m,0.5
1058,SP-3a,space-perception,rwigle,scene_005,group_006_obj02,97d6059a49314d1eb780e624a3603def,-1.4364076852798462,What is the approximate distance in meters between <obj> and the ego vehicle?,35.0 m,25
1059,SP-3a,space-perception,rwigle,scene_005,group_007,7f7ea418fdb64234964f4380b2a53fbb,-1.8032808303833008,What is the approximate distance in meters between <obj> and the ego vehicle?,18.8 m,25
1060,SP-3a,space-perception,rwigle,scene_005,group_007_obj01,92ac469dc0e943839b9254537fdfef78,-1.5571953058242798,What is the approximate distance in meters between <obj> and the ego vehicle?,29.7 m,12
1061,SP-3a,space-perception,rwigle,scene_005,group_007_obj02,4912e9ab9a42474ca405da3f7b85d5c2,-1.4364076852798462,What is the approximate distance in meters between <obj> and the ego vehicle?,35.0 m,25
1062,SP-3a,space-perception,rwigle,scene_005,group_008,de45f980e3ba4f44aaf9d4d316f2c866,-1.451344609260559,What is the approximate distance in meters between <obj> and the ego vehicle?,4.8 m,0.0
1063,SP-3a,space-perception,rwigle,scene_005,group_008_obj01,c7ad39ccb8b248b68bbba3fca692c90d,-1.731755018234253,What is the approximate distance in meters between <obj> and the ego vehicle?,18.5 m,25
1064,SP-3a,space-perception,rwigle,scene_005,group_008_obj02,6bae8dba38fc4f9abd19a2a78ef355c1,-1.561690092086792,What is the approximate distance in meters between <obj> and the ego vehicle?,3.8 m,10
1065,SP-3a,space-perception,rwigle,scene_006,group_001,2910ec2d2c444cc587cd393f15451fb9,-1.6707459688186646,What is the approximate distance in meters between <obj> and the ego vehicle?,82.1 m,100
1066,SP-3a,space-perception,rwigle,scene_006,group_001_obj01,cf3d15fc2e6940ce98d959e23b5d851f,-1.3801777362823486,What is the approximate distance in meters between <obj> and the ego vehicle?,50.0 m,10
1067,SP-3a,space-perception,rwigle,scene_006,group_001_obj02,c997854e62b248568ba04862f755e792,-1.3775813579559326,What is the approximate distance in meters between <obj> and the ego vehicle?,51.6 m,10
1068,SP-3a,space-perception,rwigle,scene_006,group_002,a4f7b8496fe141b1886fa0196b945061,-1.4663275480270386,What is the approximate distance in meters between <obj> and the ego vehicle?,25.7 m,10
1069,SP-3a,space-perception,rwigle,scene_006,group_002_obj01,9f0bae27a338476086962e3dfef3ffbf,-1.454559087753296,What is the approximate distance in meters between <obj> and the ego vehicle?,82.7 m,10
1070,SP-3a,space-perception,rwigle,scene_006,group_002_obj02,8cab43fa5c2d45b49852ea1531ffa5ae,-1.478257656097412,What is the approximate distance in meters between <obj> and the ego vehicle?,48.4 m,10
1071,SP-3a,space-perception,rwigle,scene_006,group_003,b028eacc07164c4bbb4bdf36ea76d1e3,-1.593227744102478,What is the approximate distance in meters between <obj> and the ego vehicle?,56.4 m,10
1072,SP-3a,space-perception,rwigle,scene_006,group_003_obj01,7446dcc33e584589a97bb830f20b2a19,-1.1638915538787842,What is the approximate distance in meters between <obj> and the ego vehicle?,79.9 m,10
1073,SP-3a,space-perception,rwigle,scene_006,group_003_obj02,d368087c0a9640479396947121e65ca2,-1.6618404388427734,What is the approximate distance in meters between <obj> and the ego vehicle?,12.5 m,15
1074,SP-3a,space-perception,rwigle,scene_006,group_004,4a7c3b2e8a6a4c57a64e89ee34adeedc,-1.6582750082015991,What is the approximate distance in meters between <obj> and the ego vehicle?,42.3 m,15
1075,SP-3a,space-perception,rwigle,scene_006,group_004_obj01,e07f7d97756f415a9aaf1d3f91666fed,-1.3033359050750732,What is the approximate distance in meters between <obj> and the ego vehicle?,19.6 m,15
1076,SP-3a,space-perception,rwigle,scene_006,group_004_obj02,c699f98d69bf47d39de033db42c10b9b,-1.2794489860534668,What is the approximate distance in meters between <obj> and the ego vehicle?,66.9 m,10
1077,SP-3a,space-perception,rwigle,scene_006,group_005,fcb45fcf255c4109a18b5818f9a63689,-1.3219523429870605,What is the approximate distance in meters between <obj> and the ego vehicle?,9.9 m,12
1078,SP-3a,space-perception,rwigle,scene_006,group_005_obj01,10e154d22a6f4e3bb635370b041c9f5d,-1.346653699874878,What is the approximate distance in meters between <obj> and the ego vehicle?,70.5 m,10
1079,SP-3a,space-perception,rwigle,scene_006,group_005_obj02,4faa84aa15ed4712bac7b2c0082acb4f,-1.6171411275863647,What is the approximate distance in meters between <obj> and the ego vehicle?,31.8 m,15
1080,SP-3a,space-perception,rwigle,scene_006,group_006,91b8247548654343a0381e88f7f30bd1,-1.4511418342590332,What is the approximate distance in meters between <obj> and the ego vehicle?,77.7 m,10
1081,SP-3a,space-perception,rwigle,scene_006,group_006_obj01,81ea09234cd04fbbbb281ea754a5a0a4,-1.4701366424560547,What is the approximate distance in meters between <obj> and the ego vehicle?,44.3 m,10
1082,SP-3a,space-perception,rwigle,scene_006,group_006_obj02,0944f67cd2da4e309b5ca28c9799c789,-1.4836127758026123,What is the approximate distance in meters between <obj> and the ego vehicle?,68.6 m,10
1083,SP-3a,space-perception,rwigle,scene_006,group_007,9ccbb4d06e7642c89a72374c96d713e8,-1.5619157552719116,What is the approximate distance in meters between <obj> and the ego vehicle?,86.2 m,10
1084,SP-3a,space-perception,rwigle,scene_006,group_007_obj01,685b566b4dcb46c2b18f68c3c3b972b6,-1.1273499727249146,What is the approximate distance in meters between <obj> and the ego vehicle?,4.1 m,0.5
1085,SP-3a,space-perception,rwigle,scene_006,group_007_obj02,3bde1b4300a649e3ba51ff275a0661db,-1.4271364212036133,What is the approximate distance in meters between <obj> and the ego vehicle?,43.5 m,10
1086,SP-3a,space-perception,rwigle,scene_006,group_008,45ac2c11fc064ae5b250d8107be1e299,-1.3803573846817017,What is the approximate distance in meters between <obj> and the ego vehicle?,9.0 m,1.5
1087,SP-3a,space-perception,rwigle,scene_006,group_008_obj01,45ac2c11fc064ae5b250d8107be1e299,-1.3803573846817017,What is the approximate distance in meters between <obj> and the ego vehicle?,9.0 m,1.5
1088,SP-3a,space-perception,rwigle,scene_006,group_008_obj02,d35db45a75d64dbbaa2e43e583d77667,-1.3243050575256348,What is the approximate distance in meters between <obj> and the ego vehicle?,8.0 m,10
1089,SP-3a,space-perception,rwigle,scene_007,group_001,1a75a54872dd4be6af88baddb5712533,-1.3571696281433105,What is the approximate distance in meters between <obj> and the ego vehicle?,35.9 m,15
1090,SP-3a,space-perception,rwigle,scene_007,group_001_obj01,7e95dc15c0b2461f909a572183628d63,-1.5148382186889648,What is the approximate distance in meters between <obj> and the ego vehicle?,27.3 m,20
1091,SP-3a,space-perception,rwigle,scene_007,group_001_obj02,a9c79341fde343a9ae9cc516180e952a,-1.6244556903839111,What is the approximate distance in meters between <obj> and the ego vehicle?,36.5 m,15
